"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ",2020,0.512,0.483,-7.798,0.0298,0.00304,0.0011,0.12,0.367,160.009,"0VF7YLIxSQKyNiFL3X6MmN",4,217026,"Stargazing","Chip Chrome & The Mono-Tones (Deluxe)","C major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ",2020,0.333,0.487,-8.169,0.0342,0.147,0.0751,0.0801,0.155,188.908,"5VoBizwMwcd2D68EfqxDbO",3,220760,"Over the Influence","Chip Chrome & The Mono-Tones (Deluxe)","G major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ",2020,0.51,0.527,-9.148,0.0292,0.6,0.317,0.545,0.418,143.913,"5SZ3LjDirzbQe3CqIgxRkA",4,257720,"Here We Go Again","Chip Chrome & The Mono-Tones (Deluxe)","G# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","2JyArayVlT6t3MVWLLdSwZ",2020,0.627,0.685,-6.871,0.0272,0.0534,0.756,0.096,0.552,96.989,"3m3ylOXgB3v9xmDSIJyx9S",4,214693,"The Shining","Chip Chrome & The Mono-Tones (Deluxe)","A# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.205,0.739,-13.072,0.0546,0.961,0.937,0.339,0.0385,79.988,"4Kt8Z1uo9Y0MXog8Y44ih9",4,31045,"Chip Chrome","Chip Chrome & The Mono-Tones","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.578,0.386,-11.464,0.0278,0.208,0.0453,0.307,0.569,154.902,"7IL8PSVwLOJxqYne6azxQv",4,234093,"Pretty Boy","Chip Chrome & The Mono-Tones","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.568,0.891,-5.786,0.0376,0.000896,0.000137,0.357,0.522,104.954,"5TUZhrb8UaaA76NhzZax2Z",4,190226,"Lost in Translation","Chip Chrome & The Mono-Tones","C major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.662,0.681,-8.152,0.0315,0.0321,0.139,0.508,0.864,98.004,"4XfI7M5gLwEY84gYiH4RDD",4,186306,"Devil's Advocate","Chip Chrome & The Mono-Tones","B minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.572,0.32,-11.841,0.0299,0.962,0.00598,0.165,0.627,120.875,"13H872rziuPMTOguuYYBtu",4,139586,"Hell or High Water","Chip Chrome & The Mono-Tones","A major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.617,0.574,-9.768,0.0276,0.23,0.0105,0.0983,0.396,91.769,"40iocOzytrqaRn5RbGPDNp",4,208453,"Cherry Flavoured","Chip Chrome & The Mono-Tones","F# major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.696,0.838,-9.299,0.0361,0.0621,8.42e-05,0.0967,0.66,139.977,"5uidTQXrmYWTCwfJxPVW90",4,191120,"BooHoo","Chip Chrome & The Mono-Tones","F minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.562,0.53,-7.665,0.0286,0.0226,0.00419,0.106,0.391,122.92,"1iJsVkrrId99kTJSZBrwHJ",4,179453,"Silver Lining","Chip Chrome & The Mono-Tones","D major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.413,0.474,-11.472,0.0328,0.0419,0.508,0.384,0.446,111.01,"4pJEkzhZY84h8kmPkUhfwC",4,296813,"Tobacco Sunburst","Chip Chrome & The Mono-Tones","F major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX",2020,0.508,0.394,-9.472,0.0252,0.716,0,0.158,0.337,92.055,"4e8zIDjctZ1DtUPZTraGzS",4,171053,"Middle of Somewhere","Chip Chrome & The Mono-Tones","A minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","0ODLCdHBFVvKwJGeSfd1jy",2018,0.348,0.442,-7.676,0.0637,0.0971,5.31e-05,0.112,0.0674,198.227,"7inCfDM4S3xsVzgOUqSJOH",4,208826,"Dust","Hard To Imagine The Neighbourhood Ever Changing","C# minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","0ODLCdHBFVvKwJGeSfd1jy",2018,0.547,0.639,-6.958,0.117,0.0137,0,0.305,0.399,90.098,"2DBxhQbwnuXDioUVdL33S2",4,161946,"Kill Us All (feat. Denzel Curry)","Hard To Imagine The Neighbourhood Ever Changing","D major"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","0ODLCdHBFVvKwJGeSfd1jy",2018,0.587,0.744,-4.611,0.0742,0.00213,0.00181,0.114,0.236,118.962,"4Cdb1dE3pfiWlqnAIcImyQ",4,219973,"24/7","Hard To Imagine The Neighbourhood Ever Changing","G minor"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","0ODLCdHBFVvKwJGeSfd1jy",2018,0.595,0.636,-5.981,0.0312,9.45e-05,0.0529,0.196,0.147,112.008,"6TA5aymvVrtiPVbuAwmPIc",4,222666,"Scary Love","Hard To Imagine The Neighbourhood Ever Changing","F minor"
