"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.455,0.373,-12.854,0.0325,0.77,0.0443,0.0682,0.375,100.74,"70gDh9HAjzlRjEyrlR3y9d",4,94650,"Lifelike","Nurture","A# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.568,0.564,-8.231,0.0273,0.0105,0.000127,0.0766,0.385,115.059,"5lXNcc8QeM9KpAWNHAL0iS",4,309985,"Look at the Sky","Nurture","F# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.541,0.685,-5.844,0.051,0.0983,0,0.124,0.442,95.008,"6aUfT9QOcTHhxLNrf1aVR8",4,218509,"Get Your Wish","Nurture","B major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.277,0.32,-11.579,0.0357,0.949,0.00323,0.1,0.0636,96.493,"4GKSQD4lm08ORPorzi2wOb",3,364114,"Wind Tempos","Nurture","C# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.617,0.737,-5.224,0.0321,0.0119,0,0.0571,0.522,120.033,"6uyltToZgo3MDKhCJ7F8Wc",4,238870,"Musician","Nurture","C# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.527,0.852,-4.203,0.0347,0.00758,0,0.104,0.432,98.038,"1VaUIU5YQhheEETQmV4Nlr",4,226497,"Mother","Nurture","E major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.346,0.376,-11.197,0.0476,0.532,0.712,0.0757,0.33,81.17,"6ezauvJT4kX0UvmntXdGQr",4,240158,"dullscythe","Nurture","G minor"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.457,0.728,-8.625,0.0497,0.192,0.0292,0.0944,0.439,84.976,"1UvLYkSfgqGbEgykqBWGx6",4,251509,"Sweet Time","Nurture","D major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.534,0.668,-7.713,0.0536,0.00362,0,0.0815,0.35,111.922,"6k4f9cRrCBLxoFQGZHJ8QX",4,306889,"Mirror","Nurture","D# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.474,0.558,-9.688,0.0298,0.0448,3.79e-06,0.0806,0.291,143.992,"5g7bsxCqNaucnXpexUoHg8",4,281974,"Something Comforting","Nurture","G# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.339,0.321,-9.444,0.0322,0.724,0.00143,0.109,0.186,174.274,"0nPpDVxWDSWdSIrd26Taja",4,226217,"Blossom","Nurture","G minor"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.177,0.531,-6.814,0.0387,0.0201,4.99e-05,0.0996,0.097,84.289,"36kCSJg8ZBwiSCUECFKGUy",5,285821,"Unfold","Nurture","A# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","4Hjqdhj5rh816i1dfcUEaM",2021,0.494,0.533,-8.183,0.0368,0.344,0.00297,0.11,0.41,108.007,"5dIz2Q54yzcvyiXHRnvj4C",4,279692,"Trying to Feel Alive","Nurture","F# major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.496,0.55,-5.418,0.034,0.00755,0.0122,0.0814,0.144,90.036,"18cCBvygH6yEFDY0cYN3wT",4,368373,"Divinity","Worlds","D major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.47,0.706,-4.902,0.0322,0.034,1.31e-06,0.0726,0.327,88.519,"1JY6B9ILvmRla2IKKRZvnH",4,350690,"Sad Machine","Worlds","C minor"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.517,0.74,-5.059,0.0341,0.00574,0.00179,0.109,0.174,110.001,"4DHkzbZSWxsCsvRoEzr28A",4,236053,"Years Of War","Worlds","B major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.589,0.713,-3.756,0.0976,0.0331,0.000411,0.178,0.547,92.018,"6BivCuyKJtgLa9ooFsvUoZ",4,279000,"Flicker","Worlds","A# minor"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.636,0.499,-5.775,0.041,0.00744,0.0169,0.112,0.234,90.996,"1LikBIcmCec6zE64SHFcMK",4,358760,"Fresh Static Snow","Worlds","A major"
"Porter Robinson","3dz0NnIZhtKKeXZxLOxCam","7AJPV0L05IyIBid97AvwVD",2014,0.482,0.757,-3.387,0.042,0.0297,0,0.0819,0.412,95.002,"0AnJGlNdR56Hco4c2f4IYz",4,209466,"Polygon Dust","Worlds","C minor"
